wanted,position,positionid,from,start,end
Q97052669,Minister of Culture,Q109649538,Q107447278,2021-07-07,2022-02-17
Q99763991,Minister of Labour,Q109120603,Q107452346,2021-07-07,2021-11-11
Q97107750,Minister of Transport,Q109649796,Q83875272,2021-02-22,2021-07-08
Q81633238,Minister of Energy Transition and Renewable Energy,Q109649554,Q15714150,2020-06-23,2021-07-08
Q63343041,Minister of Higher Education and Scientific Research,Q108032777,Q15714150,2020-01-04,2020-06-25
Q2827559,Minister of Defence,Q109649526,Q2821166,2019-12-19,
Q20751756,Minister of the Environment,Q109649977,Q48772826,2017-05-25,2020-01-04
Q21093053,Minister of Agriculture,Q106618417,Q20995417,2015-07-23,2017-05-24
Q2841186,Minister of Trade and Export Promotion,Q109649688,Q26036592,2015-07-23,2017-01-19
Q2827559,Commander of the Land Forces,Q16538794,Q12178421,2004-08-07,2018-09-20
Q1655077,Chief of Staff of the People's National Army,Q2962029,Q2827559,2004-08-03,2019-12-23
